Volatility 3 Framework 2.26.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	Audit	Cmd	Path
** 3636	1548	SysInfoCap.exe	0xbc88f2a730c0	21	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\SysInfoCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\SysInfoCap.exe	C:\WINDOWS\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\SysInfoCap.exe
*** 14240	3636	BridgeCommunic	0xbc88f9880080	0	-	1	False	2025-09-27 11:07:12.000000 UTC	2025-09-27 11:07:12.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 900	3636	BridgeCommunic	0xbc88f0cd0080	0	-	1	False	2025-09-27 10:57:11.000000 UTC	2025-09-27 10:57:11.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 18808	3636	BridgeCommunic	0xbc88fabef0c0	0	-	1	False	2025-09-27 11:49:40.000000 UTC	2025-09-27 11:49:40.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 14632	3636	BridgeCommunic	0xbc88fa3540c0	0	-	1	False	2025-09-27 11:27:13.000000 UTC	2025-09-27 11:27:13.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 18440	3636	BridgeCommunic	0xbc89012e60c0	0	-	1	False	2025-09-27 11:59:40.000000 UTC	2025-09-27 11:59:40.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 18956	3636	BridgeCommunic	0xbc88fb6e8080	0	-	1	False	2025-09-27 11:07:12.000000 UTC	2025-09-27 11:17:12.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 16716	3636	BridgeCommunic	0xbc88fd0e8080	0	-	1	False	2025-09-27 11:37:13.000000 UTC	2025-09-27 11:44:03.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 14796	3636	BridgeCommunic	0xbc8900ff2080	0	-	1	False	2025-09-27 11:49:40.000000 UTC	2025-09-27 11:49:40.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 8876	3636	BridgeCommunic	0xbc8901ee9080	0	-	1	False	2025-09-27 11:49:40.000000 UTC	2025-09-27 11:59:40.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 8752	3636	BridgeCommunic	0xbc88ec89b0c0	0	-	1	False	2025-09-27 11:17:12.000000 UTC	2025-09-27 11:17:13.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 8024	3636	BridgeCommunic	0xbc8901ddc080	0	-	1	False	2025-09-27 11:59:40.000000 UTC	2025-09-27 13:24:29.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 9080	3636	BridgeCommunic	0xbc88f4696080	0	-	1	False	2025-09-27 10:57:12.000000 UTC	2025-09-27 11:07:12.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 12436	3636	BridgeCommunic	0xbc88fd7a5080	0	-	1	False	2025-09-27 11:17:13.000000 UTC	2025-09-27 11:27:13.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 7060	3636	BridgeCommunic	0xbc88fa368080	0	-	1	False	2025-09-27 11:27:13.000000 UTC	2025-09-27 11:37:13.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 2136	3636	BridgeCommunic	0xbc88f0dba080	0	-	1	False	2025-09-27 10:57:11.000000 UTC	2025-09-27 10:57:12.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
*** 14492	3636	BridgeCommunic	0xbc88fc6430c0	0	-	1	False	2025-09-27 11:37:13.000000 UTC	2025-09-27 11:37:13.000000 UTC	\Device\HarddiskVolume3\Windows\System32\DriverStore\FileRepository\hpcustomcapcomp.inf_amd64_b1bfb66eda7ba5ab\x64\BridgeCommunication.exe	-	-
** 7744	1548	splunkd.exe	0xbc88f2284080	48	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\SplunkUniversalForwarder\bin\splunkd.exe	"C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe" service	C:\Program Files\SplunkUniversalForwarder\bin\splunkd.exe
*** 8012	7744	conhost.exe	0xbc88f28ef080	4	-	0	False	2025-09-27 10:57:11.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\conhost.exe	\??\C:\WINDOWS\system32\conhost.exe 0x4	C:\WINDOWS\system32\conhost.exe
** 10304	1548	svchost.exe	0xbc88f4def080	11	-	0	False	2025-09-27 10:57:13.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s DisplayEnhancementService	C:\WINDOWS\system32\svchost.exe
** 16464	1548	svchost.exe	0xbc88f51e40c0	6	-	3	False	2025-09-30 07:10:10.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k DevicesFlow -s DevicesFlowUserSvc	C:\WINDOWS\system32\svchost.exe
** 3668	1548	svchost.exe	0xbc88ec8020c0	10	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalServiceHttp -p	C:\WINDOWS\system32\svchost.exe
** 18524	1548	svchost.exe	0xbc891404c080	7	-	3	False	2025-09-30 07:02:41.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s NPSMSvc	C:\WINDOWS\system32\svchost.exe
** 5216	1548	Velociraptor.e	0xbc8915d7c080	24	-	0	False	2025-09-30 07:03:47.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\Velociraptor\Velociraptor.exe	"C:\Program Files\Velociraptor\Velociraptor.exe" service run	C:\Program Files\Velociraptor\Velociraptor.exe
** 4196	1548	svchost.exe	0xbc88edc9c080	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k appmodel -p -s StateRepository	C:\WINDOWS\system32\svchost.exe
** 1640	1548	svchost.exe	0xbc88f0d67080	6	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv	C:\WINDOWS\system32\svchost.exe
** 5224	1548	svchost.exe	0xbc88f34ac200	17	-	0	False	2025-09-27 10:57:10.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p	C:\WINDOWS\system32\svchost.exe
** 3180	1548	svchost.exe	0xbc88f2c48080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s SysMain	C:\WINDOWS\system32\svchost.exe
** 7276	1548	svchost.exe	0xbc8911f57080	13	-	0	False	2025-09-30 08:36:37.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s wlidsvc	C:\WINDOWS\system32\svchost.exe
** 3188	1548	svchost.exe	0xbc88f2c4a080	9	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k LocalService -p -s EventSystem	C:\WINDOWS\system32\svchost.exe
** 2680	1548	svchost.exe	0xbc88fa06a080	10	-	0	False	2025-09-27 10:59:12.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s wscsvc	C:\WINDOWS\System32\svchost.exe
** 3196	1548	svchost.exe	0xbc88f2cb4080	5	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\System32\svchost.exe -k netsvcs -p -s Themes	C:\WINDOWS\System32\svchost.exe
** 21120	1548	svchost.exe	0xbc88fa50f080	0	-	0	False	2025-09-27 11:05:53.000000 UTC	2025-09-27 11:05:59.000000 UTC	\Device\HarddiskVolume3\Windows\System32\svchost.exe	-	-
** 2692	1548	svchost.exe	0xbc88edc240c0	7	-	0	False	2025-09-27 10:57:09.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\svchost.exe	C:\WINDOWS\system32\svchost.exe -k netsvcs -p -s UserManager	C:\WINDOWS\system32\svchost.exe
*** 14892	2692	sihost.exe	0xbc891acd00c0	15	-	3	False	2025-09-30 07:02:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\sihost.exe	sihost.exe	C:\WINDOWS\system32\sihost.exe
**** 8356	14892	HPCC.Bg.Backgr	0xbc8914406080	12	-	3	False	2025-09-30 07:02:57.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\AD2F1837.HPThermalControl_1.11.60.0_x64__v10z8vjag6ke6\Win32Process\HPCC.Bg.BackgroundApp.exe	"C:\Program Files\WindowsApps\AD2F1837.HPThermalControl_1.11.60.0_x64__v10z8vjag6ke6\Win32Process\HPCC.Bg.BackgroundApp.exe" /InvokerPRAID: App 	C:\Program Files\WindowsApps\AD2F1837.HPThermalControl_1.11.60.0_x64__v10z8vjag6ke6\Win32Process\HPCC.Bg.BackgroundApp.exe
**** 1092	14892	ShellHost.exe	0xbc891a5bd0c0	18	-	3	False	2025-09-30 08:13:53.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\System32\ShellHost.exe	"C:\Windows\System32\ShellHost.exe"	C:\Windows\System32\ShellHost.exe
**** 10120	14892	CrossDeviceRes	0xbc891a5ac0c0	18	-	3	False	2025-09-30 07:02:39.000000 UTC	N/A	\Device\HarddiskVolume3\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe	"C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe" /tileid MicrosoftWindows.Client.CBS_cw5n1h2txyewy!CrossDeviceResumeApp	C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe
**** 24016	14892	msteams_autost	0xbc88f7a350c0	0	-	3	False	2025-09-30 07:02:58.000000 UTC	2025-09-30 07:02:58.000000 UTC	\Device\HarddiskVolume3\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\msteams_autostarter.exe	-	-
***** 12980	24016	ms-teams.exe	0xbc89183c7080	76	-	3	False	2025-09-30 07:02:58.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\ms-teams.exe	"C:\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\ms-teams.exe" msteams:system-initiated	C:\Program Files\WindowsApps\MSTeams_25241.203.3947.4411_x64__8wekyb3d8bbwe\ms-teams.exe
****** 12788	12980	msedgewebview2	0xbc891a533080	50	-	3	False	2025-09-30 07:02:59.000000 UTC	N/A	\Device\HarddiskVolume3\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.94\msedgewebview2.exe	"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.94\msedgewebview2.exe" --embedded-browser-webview=1 --webview-exe-name=ms-teams.exe --webview-exe-version=25241.203.3947.4411 --user-data-dir="C:\Users\Digital Forensic\AppData\Local\Packages\MSTeams_8wekyb3d8bbwe\LocalCache\Microsoft\MSTeams\EBWebView" --noerrdialogs --embedded-browser-webview-dpi-awareness=2 --autoplay-policy=no-user-gesture-required --disable-background-timer-throttling --disable-features=msEnhancedTrackingPreventionEnabled,BreakoutBoxPreferCaptureTimestampInVideoFrames,msWebOOUI --enable-blink-features=IndexedDbGetAllRecords --enable-features=msSingleSignOnOSForPrimaryAccountIsShared,SharedArrayBuffer,AutofillReplaceCachedWebElementsByRendererIds,msWebView2TerminateServiceWorkerWhenIdleIgnoringCdpSessions,msWebView2SetUserAgentOverrideOnIframes,PreferredAudioOutputDevices,DocumentPolicyIncludeJSCallStacksInCrashReports,RendererHangWatcher:delay/15s,PartitionedCookies,ThirdPartyStoragePartitioning,msWebView2TextureStream,msWebView2EnableDraggableRegions,msAbydos,msAbydosHandwritingAttr,msAbydosGestureSupport --isolate-origins=https://[*.]microsoft.com,https://[*.]sharepoint.com,https://[*.]sharepointonline.com,https://mesh-hearts-teams.azurewebsites.net,https://[*.]meshxp.net,https://res-sdf.cdn.office.net,https://res.cdn.office.net,https://copilot.teams.cloud.microsoft,https://local.copilot.teams.office.com --js-flags=--stack-trace-limit=50 --lang=en-US --mojo-named-platform-channel-pipe=12980.13108.6147340610556126890 /pfhostedapp:cdcc67f6d2aad09431d3389381d7512a1dcda6f0	C:\Program Files (x86)\Microsoft\EdgeWebView\Application\140.0.3485.94\msedgewebview2.exe
